date,temp,humidity,wind_speed
01/01/2017,15.91304348,85.86956522,2.743478261
02/01/2017,18.5,77.22222222,2.894444444
03/01/2017,17.11111111,81.88888889,4.016666667
04/01/2017,18.7,70.05,4.545
05/01/2017,18.38888889,74.94444444,3.3
06/01/2017,19.31818182,79.31818182,8.681818182
07/01/2017,14.70833333,95.83333333,10.04166667
08/01/2017,15.68421053,83.52631579,1.95
09/01/2017,14.57142857,80.80952381,6.542857143
10/01/2017,12.11111111,71.94444444,9.361111111
11/01/2017,11,72.11111111,9.772222222
12/01/2017,11.78947368,74.57894737,6.626315789
13/01/2017,13.23529412,67.05882353,6.435294118
14/01/2017,13.2,74.28,5.276
15/01/2017,16.43478261,72.56521739,3.630434783
16/01/2017,14.65,78.45,10.38
17/01/2017,11.72222222,84.44444444,8.038888889
18/01/2017,13.04166667,78.33333333,6.029166667
19/01/2017,14.61904762,75.14285714,10.33809524
20/01/2017,15.26315789,66.47368421,11.22631579
21/01/2017,15.39130435,70.86956522,13.69565217
22/01/2017,18.44,76.24,5.868
23/01/2017,18.11764706,76,6.752941176
24/01/2017,18.34782609,68.13043478,3.391304348
25/01/2017,21,69.96,8.756
26/01/2017,16.17857143,91.64285714,8.467857143
27/01/2017,16.5,77.04166667,14.35833333
28/01/2017,14.86363636,82.77272727,9.690909091
29/01/2017,15.66666667,81.77777778,10.29444444
30/01/2017,16.44444444,77.55555556,4.322222222
31/01/2017,16.125,76,4.625
01/02/2017,15.25,78.625,5.1
02/02/2017,17.09090909,66.54545455,3.027272727
03/02/2017,15.63636364,78.18181818,1.854545455
04/02/2017,18.7,77.6,9.82
05/02/2017,18.63157895,77.63157895,8.1
06/02/2017,16.88888889,69.66666667,9.044444444
07/02/2017,15.125,63.75,7.6375
08/02/2017,15.7,68.4,4.08
09/02/2017,15.375,68.375,7.875
10/02/2017,14.66666667,71.77777778,9.066666667
11/02/2017,15.625,64,3.95
12/02/2017,16.25,70.375,1.625
13/02/2017,16.33333333,67,6.377777778
14/02/2017,16.875,65.5,6.9625
15/02/2017,17.57142857,67.71428571,5.557142857
16/02/2017,20.25,56.75,10.4375
17/02/2017,21.3,64.4,9.28
18/02/2017,21.125,70.75,6.25
19/02/2017,22.36363636,66.09090909,6.054545455
20/02/2017,23.375,60.125,6.9375
21/02/2017,21.83333333,69.41666667,12.34166667
22/02/2017,19.125,57.125,7.4125
