date,temp,humidity,wind_speed
23/02/2017,18.625,42.875,14.35
24/02/2017,19.125,40.375,16.6625
25/02/2017,19,50.42857143,11.92857143
26/02/2017,18.75,59,11.1125
27/02/2017,19.875,58.375,5.1
28/02/2017,23.33333333,51.66666667,3.911111111
01/03/2017,24.46153846,47.92307692,6.415384615
02/03/2017,23.75,54.25,5.93
03/03/2017,20.5,42.5,7.4125
04/03/2017,19.125,43.125,8.35
05/03/2017,19.75,41.25,9.9625
06/03/2017,20,42.44444444,9.666666667
07/03/2017,22.625,41.5,6.025
08/03/2017,21.54545455,52.72727273,10.26363636
09/03/2017,102.07142857,102.07142857,102.07142857
10/03/2017,19.9375,67.75,11.4625
11/03/2017,18.53333333,60.4,5.566666667
12/03/2017,17.375,56.625,7.6375
13/03/2017,17.44444444,49.33333333,9.055555556
14/03/2017,18,56.33333333,4.522222222
15/03/2017,19.875,54.75,7.175
16/03/2017,24,49.2,5.56
17/03/2017,20.9,59.7,11.49
18/03/2017,24.69230769,46.30769231,7.123076923
19/03/2017,24.66666667,52.27777778,9.161111111
20/03/2017,23.33333333,54.66666667,10.07777778
21/03/2017,25,49,9.2625
22/03/2017,27.25,45,10.1875
23/03/2017,28,49.75,3.4875
